"Soort misdrijf";"Plaatsen";"Perioden";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"Breda";"2012";15474
"Totaal misdrijven";"Breda";"2013";14159
"Totaal misdrijven";"Breda";"2014";13061
"Totaal misdrijven";"Breda";"2015";12313
"Totaal misdrijven";"Breda";"2016";11647
"Totaal misdrijven";"Breda";"2017";10422
"Totaal misdrijven";"Breda";"2018";9643
"Totaal misdrijven";"Breda";"2019";10183
"Totaal misdrijven";"Breda";"2020";9996
"Totaal misdrijven";"Breda";"2021";8975
"Totaal misdrijven";"Breda";"2022";9974
"1.1.1 Diefstal/inbraak woning";"Breda";"2012";1164
"1.1.1 Diefstal/inbraak woning";"Breda";"2013";1150
"1.1.1 Diefstal/inbraak woning";"Breda";"2014";798
"1.1.1 Diefstal/inbraak woning";"Breda";"2015";647
"1.1.1 Diefstal/inbraak woning";"Breda";"2016";533
"1.1.1 Diefstal/inbraak woning";"Breda";"2017";556
"1.1.1 Diefstal/inbraak woning";"Breda";"2018";462
"1.1.1 Diefstal/inbraak woning";"Breda";"2019";403
"1.1.1 Diefstal/inbraak woning";"Breda";"2020";376
"1.1.1 Diefstal/inbraak woning";"Breda";"2021";247
"1.1.1 Diefstal/inbraak woning";"Breda";"2022";227
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2012";273
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2013";261
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2014";283
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2015";336
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2016";269
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2017";200
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2018";131
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2019";112
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2020";172
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2021";170
"1.1.2 Diefstal/inbraak box/garage/schuur";"Breda";"2022";175
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2012";1832
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2013";1540
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2014";1131
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2015";1096
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2016";1269
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2017";1055
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2018";674
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2019";745
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2020";752
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2021";622
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"Breda";"2022";770
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2012";243
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2013";224
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2014";200
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2015";252
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2016";168
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2017";119
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2018";155
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2019";98
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2020";95
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2021";88
"1.2.2 Diefstal van motorvoertuigen";"Breda";"2022";93
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2012";1661
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2013";1242
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2014";1896
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2015";1603
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2016";1449
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2017";1082
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2018";923
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2019";978
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2020";896
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2021";1032
"1.2.3 Diefstal van brom-, snor-, fietsen";"Breda";"2022";1206
"1.2.4 Zakkenrollerij";"Breda";"2012";659
"1.2.4 Zakkenrollerij";"Breda";"2013";781
"1.2.4 Zakkenrollerij";"Breda";"2014";514
"1.2.4 Zakkenrollerij";"Breda";"2015";529
"1.2.4 Zakkenrollerij";"Breda";"2016";408
"1.2.4 Zakkenrollerij";"Breda";"2017";365
"1.2.4 Zakkenrollerij";"Breda";"2018";201
"1.2.4 Zakkenrollerij";"Breda";"2019";280
"1.2.4 Zakkenrollerij";"Breda";"2020";171
"1.2.4 Zakkenrollerij";"Breda";"2021";89
"1.2.4 Zakkenrollerij";"Breda";"2022";232
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2012";200
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2013";176
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2014";184
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2015";158
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2016";164
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2017";167
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2018";105
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2019";169
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2020";218
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2021";131
"1.2.5 Diefstal af/uit/van ov. voertuigen";"Breda";"2022";173
