Regio's,Overlast,2012 januari,2012 februari,2012 maart,2012 april,2012 mei,2012 juni,2012 juli,2012 augustus,2012 september,2012 oktober,2012 november,2012 december,2012,2013 januari,2013 februari,2013 maart,2013 april,2013 mei,2013 juni,2013 juli,2013 augustus,2013 september,2013 oktober,2013 november,2013 december,2013,2014 januari,2014 februari,2014 maart,2014 april,2014 mei,2014 juni,2014 juli,2014 augustus,2014 september,2014 oktober,2014 november,2014 december,2014,2015 januari,2015 februari,2015 maart,2015 april,2015 mei,2015 juni,2015 juli,2015 augustus,2015 september,2015 oktober,2015 november,2015 december,2015,2016 januari,2016 februari,2016 maart,2016 april,2016 mei,2016 juni,2016 juli,2016 augustus,2016 september,2016 oktober,2016 november,2016 december,2016,2017 januari,2017 februari,2017 maart,2017 april,2017 mei,2017 juni,2017 juli,2017 augustus,2017 september,2017 oktober,2017 november,2017 december,2017,2018 januari,2018 februari,2018 maart,2018 april,2018 mei,2018 juni,2018 juli,2018 augustus,2018 september,2018 oktober,2018 november,2018 december,2018,2019 januari,2019 februari,2019 maart,2019 april,2019 mei,2019 juni,2019 juli,2019 augustus,2019 september,2019 oktober,2019 november,2019 december,2019,2020 januari,2020 februari,2020 maart,2020 april,2020 mei,2020 juni,2020 juli,2020 augustus,2020 september,2020 oktober,2020 november,2020 december,2020,2021 januari,2021 februari,2021 maart,2021 april,2021 mei,2021 juni,2021 juli,2021 augustus,2021 september,2021 oktober,2021 november,2021 december,2021,2022 januari,2022 februari,2022 maart,2022 april,2022 mei,2022 juni,2022 juli,2022 augustus,2022 september,2022 oktober,2022 november,2022 december,2022,2023 januari,2023 februari,2023 maart,2023 april
Breda,Total nuisance registrations,276.0,277.0,313.0,242.0,402.0,355.0,358.0,447.0,371.0,308.0,267.0,245.0,3861.0,359.0,213.0,248.0,273.0,337.0,339.0,331.0,368.0,298.0,281.0,256.0,221.0,3524.0,236.0,237.0,275.0,367.0,349.0,405.0,414.0,406.0,393.0,338.0,317.0,267.0,4004.0,234.0,285.0,251.0,333.0,374.0,431.0,496.0,394.0,302.0,339.0,353.0,367.0,4159.0,309.0,277.0,353.0,406.0,436.0,495.0,569.0,415.0,443.0,403.0,303.0,302.0,4711.0,327.0,294.0,301.0,363.0,388.0,478.0,489.0,397.0,330.0,333.0,274.0,302.0,4276.0,281.0,239.0,298.0,329.0,342.0,418.0,346.0,416.0,315.0,322.0,264.0,313.0,3883.0,266.0,267.0,282.0,387.0,343.0,377.0,392.0,366.0,323.0,312.0,272.0,275.0,3862.0,316.0,302.0,369.0,546.0,665.0,620.0,613.0,607.0,474.0,511.0,485.0,430.0,5938.0,547.0,635.0,582.0,581.0,603.0,678.0,733.0,707.0,629.0,473.0,502.0,536.0,7206.0,528.0,462.0,421.0,437.0,511.0,506.0,615.0,567.0,423.0,428.0,415.0,359.0,5672.0,413.0,361.0,419.0,532.0
Breda,Nuisance by confused person,39.0,27.0,46.0,42.0,41.0,32.0,37.0,51.0,37.0,34.0,43.0,35.0,464.0,56.0,40.0,49.0,32.0,52.0,39.0,43.0,39.0,36.0,38.0,35.0,32.0,491.0,34.0,23.0,40.0,56.0,48.0,43.0,45.0,62.0,67.0,66.0,58.0,54.0,596.0,48.0,64.0,56.0,50.0,68.0,58.0,83.0,74.0,62.0,76.0,84.0,78.0,801.0,51.0,86.0,90.0,99.0,62.0,74.0,94.0,72.0,87.0,65.0,67.0,88.0,935.0,103.0,70.0,107.0,92.0,111.0,104.0,118.0,120.0,104.0,106.0,64.0,95.0,1194.0,98.0,67.0,109.0,102.0,100.0,116.0,92.0,112.0,109.0,106.0,111.0,114.0,1236.0,76.0,89.0,102.0,128.0,103.0,107.0,123.0,130.0,104.0,117.0,90.0,96.0,1265.0,91.0,98.0,108.0,138.0,151.0,161.0,146.0,129.0,123.0,160.0,191.0,133.0,1629.0,155.0,195.0,196.0,150.0,158.0,157.0,188.0,194.0,188.0,112.0,159.0,136.0,1988.0,158.0,124.0,144.0,157.0,184.0,163.0,191.0,176.0,123.0,117.0,134.0,129.0,1800.0,136.0,111.0,147.0,183.0
Breda,Youth nuisance report,70.0,80.0,123.0,73.0,95.0,112.0,99.0,162.0,100.0,117.0,91.0,84.0,1206.0,133.0,60.0,69.0,84.0,91.0,100.0,103.0,103.0,56.0,77.0,58.0,44.0,978.0,59.0,60.0,90.0,125.0,87.0,105.0,130.0,116.0,84.0,90.0,73.0,89.0,1108.0,45.0,54.0,69.0,100.0,85.0,113.0,136.0,76.0,68.0,87.0,89.0,79.0,1001.0,59.0,36.0,67.0,93.0,123.0,137.0,135.0,92.0,102.0,88.0,51.0,41.0,1024.0,50.0,58.0,51.0,76.0,70.0,99.0,104.0,73.0,42.0,59.0,50.0,46.0,778.0,33.0,26.0,28.0,50.0,53.0,71.0,51.0,54.0,33.0,34.0,25.0,34.0,492.0,30.0,32.0,27.0,51.0,61.0,64.0,63.0,41.0,45.0,51.0,32.0,25.0,522.0,29.0,18.0,61.0,124.0,160.0,120.0,123.0,134.0,88.0,86.0,76.0,81.0,1100.0,88.0,103.0,101.0,112.0,107.0,112.0,119.0,72.0,79.0,66.0,43.0,75.0,1077.0,52.0,59.0,67.0,80.0,87.0,84.0,107.0,78.0,70.0,86.0,69.0,50.0,889.0,49.0,40.0,64.0,94.0
Breda,Nuisance due to alcohol/drugs,72.0,99.0,35.0,22.0,111.0,66.0,93.0,61.0,53.0,42.0,28.0,12.0,694.0,76.0,28.0,37.0,35.0,46.0,29.0,34.0,26.0,44.0,23.0,38.0,21.0,437.0,35.0,52.0,34.0,46.0,51.0,35.0,54.0,36.0,42.0,31.0,25.0,21.0,462.0,19.0,32.0,21.0,43.0,32.0,40.0,29.0,35.0,27.0,37.0,27.0,26.0,368.0,28.0,32.0,34.0,32.0,38.0,46.0,66.0,52.0,51.0,54.0,44.0,34.0,511.0,42.0,42.0,45.0,44.0,47.0,48.0,70.0,51.0,65.0,33.0,40.0,38.0,565.0,43.0,38.0,46.0,41.0,52.0,85.0,55.0,69.0,51.0,61.0,52.0,54.0,647.0,54.0,42.0,57.0,62.0,63.0,52.0,56.0,55.0,74.0,48.0,61.0,45.0,669.0,55.0,50.0,67.0,61.0,74.0,76.0,66.0,84.0,52.0,84.0,52.0,28.0,749.0,43.0,37.0,58.0,55.0,51.0,44.0,61.0,58.0,43.0,37.0,33.0,27.0,547.0,38.0,52.0,49.0,52.0,56.0,53.0,68.0,73.0,49.0,74.0,62.0,49.0,675.0,44.0,71.0,52.0,74.0
Breda,Nuisance drifters,15.0,8.0,29.0,30.0,26.0,22.0,21.0,25.0,31.0,23.0,17.0,16.0,263.0,13.0,18.0,13.0,12.0,41.0,20.0,10.0,11.0,22.0,32.0,35.0,17.0,244.0,22.0,15.0,28.0,26.0,24.0,27.0,34.0,44.0,22.0,25.0,41.0,29.0,337.0,19.0,29.0,15.0,29.0,35.0,54.0,34.0,46.0,34.0,33.0,36.0,44.0,408.0,32.0,27.0,48.0,49.0,46.0,38.0,64.0,43.0,46.0,65.0,32.0,30.0,520.0,39.0,30.0,26.0,36.0,31.0,39.0,55.0,41.0,33.0,32.0,29.0,31.0,422.0,13.0,12.0,16.0,21.0,20.0,28.0,21.0,32.0,20.0,22.0,10.0,25.0,240.0,29.0,19.0,27.0,31.0,19.0,19.0,23.0,42.0,24.0,20.0,29.0,31.0,313.0,47.0,41.0,46.0,64.0,83.0,90.0,82.0,55.0,54.0,61.0,30.0,25.0,678.0,36.0,40.0,37.0,23.0,36.0,27.0,35.0,41.0,32.0,18.0,53.0,62.0,440.0,42.0,46.0,37.0,44.0,39.0,40.0,36.0,49.0,42.0,42.0,49.0,32.0,498.0,67.0,44.0,68.0,77.0
Breda,Public intoxication,0.0,0.0,0.0,1.0,1.0,0.0,6.0,15.0,20.0,8.0,7.0,8.0,66.0,5.0,15.0,9.0,5.0,1.0,3.0,4.0,9.0,4.0,9.0,10.0,8.0,82.0,7.0,7.0,8.0,9.0,6.0,6.0,3.0,4.0,3.0,3.0,4.0,5.0,65.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,7.0,6.0,3.0,3.0,7.0,53.0,6.0,6.0,3.0,4.0,3.0,6.0,4.0,3.0,5.0,10.0,4.0,5.0,59.0,9.0,7.0,5.0,7.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,48.0,3.0,2.0,2.0,8.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,8.0,44.0,4.0,3.0,6.0,8.0,3.0,12.0,4.0,2.0,0.0,7.0,5.0,6.0,60.0,3.0,1.0,3.0,1.0,2.0,6.0,3.0,2.0,6.0,2.0,0.0,1.0,30.0,0.0,4.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,11.0,1.0,2.0,28.0,4.0,2.0,3.0,6.0,4.0,4.0,2.0,2.0,5.0,5.0,7.0,5.0,49.0,4.0,3.0,2.0,5.0
Breda,Noise nuisance catering,7.0,5.0,4.0,1.0,3.0,7.0,7.0,5.0,7.0,7.0,4.0,1.0,58.0,3.0,3.0,0.0,4.0,11.0,3.0,14.0,13.0,14.0,3.0,6.0,2.0,76.0,3.0,3.0,4.0,12.0,2.0,9.0,6.0,8.0,13.0,4.0,1.0,2.0,67.0,5.0,7.0,2.0,3.0,4.0,8.0,10.0,7.0,4.0,3.0,6.0,4.0,63.0,7.0,7.0,5.0,3.0,8.0,8.0,8.0,5.0,7.0,6.0,4.0,4.0,72.0,6.0,5.0,7.0,11.0,3.0,6.0,4.0,1.0,3.0,3.0,1.0,4.0,54.0,1.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,8.0,6.0,5.0,3.0,56.0,1.0,3.0,3.0,1.0,2.0,5.0,10.0,7.0,5.0,1.0,2.0,2.0,42.0,6.0,2.0,4.0,1.0,0.0,6.0,6.0,5.0,3.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,1.0,4.0,1.0,0.0,19.0,2.0,0.0,3.0,4.0,0.0,1.0,6.0,0.0,2.0,5.0,3.0,1.0,27.0,0.0,2.0,2.0,2.0
Breda,Noise nuisance event,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,2.0,1.0,0.0,4.0,18.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,20.0,2.0,1.0,0.0,2.0,5.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,24.0,1.0,2.0,0.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,12.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,15.0,0.0,2.0,2.0,1.0
Breda,Other noise nuisance,73.0,57.0,76.0,71.0,121.0,116.0,94.0,128.0,123.0,75.0,76.0,89.0,1099.0,72.0,49.0,71.0,101.0,91.0,144.0,121.0,164.0,120.0,98.0,74.0,93.0,1198.0,76.0,77.0,70.0,91.0,130.0,178.0,142.0,133.0,160.0,118.0,115.0,66.0,1356.0,93.0,94.0,83.0,103.0,141.0,153.0,197.0,149.0,99.0,99.0,105.0,129.0,1445.0,124.0,82.0,106.0,124.0,151.0,184.0,194.0,145.0,143.0,114.0,101.0,98.0,1566.0,77.0,80.0,60.0,96.0,118.0,176.0,133.0,109.0,80.0,97.0,85.0,85.0,1196.0,90.0,90.0,93.0,102.0,109.0,110.0,119.0,132.0,91.0,90.0,57.0,73.0,1156.0,70.0,78.0,60.0,105.0,92.0,115.0,113.0,87.0,71.0,68.0,53.0,68.0,980.0,81.0,89.0,80.0,156.0,195.0,161.0,186.0,197.0,147.0,118.0,134.0,162.0,1706.0,224.0,256.0,187.0,238.0,248.0,336.0,323.0,335.0,284.0,225.0,212.0,234.0,3102.0,232.0,179.0,117.0,94.0,140.0,156.0,202.0,188.0,129.0,99.0,91.0,92.0,1719.0,113.0,88.0,82.0,96.0
